leaf_id,parent_id,x,y,z,P,Sw,Sg
444,89,487.5,212.5,37.5,195.049,0.2,0.0502481
445,89,462.5,237.5,37.5,199.264,0.2,0.0500368
446,89,487.5,237.5,37.5,194.814,0.2,0.0502599
447,90,512.5,212.5,12.5,193.992,0.2,0.0503012
448,90,537.5,212.5,12.5,197.133,0.2,0.0501435
449,90,512.5,237.5,12.5,194.793,0.2,0.050261
450,90,537.5,237.5,12.5,198.064,0.2,0.0500969
451,90,512.5,212.5,37.5,162.081,0.2,0.0519302
452,90,537.5,212.5,37.5,189.75,0.2,0.050515
453,90,512.5,237.5,37.5,161.618,0.2,0.0519541
454,90,537.5,237.5,37.5,193.453,0.2,0.0503283
455,91,562.5,212.5,12.5,198.978,0.2,0.0500511
456,91,587.5,212.5,12.5,198.688,0.2,0.0500656
457,91,562.5,237.5,12.5,198.097,0.2,0.0500953
458,91,587.5,237.5,12.5,198.294,0.2,0.0500854
459,91,562.5,212.5,37.5,194.744,0.2,0.0502634
460,91,587.5,212.5,37.5,193.323,0.2,0.0503349
461,91,562.5,237.5,37.5,195.735,0.2,0.0502137
462,91,587.5,237.5,37.5,194.478,0.2,0.0502768
463,92,612.5,212.5,12.5,194.611,0.2,0.0502701
464,92,637.5,212.5,12.5,198.946,0.2,0.0500527
465,92,612.5,237.5,12.5,191.727,0.2,0.0504153
466,92,637.5,237.5,12.5,198.222,0.2,0.050089
467,92,612.5,212.5,37.5,161.204,0.2,0.0519756
468,92,637.5,212.5,37.5,194.894,0.2,0.0502559
469,92,612.5,237.5,37.5,161.689,0.2,0.0519505
470,92,637.5,237.5,37.5,194.24,0.2,0.0502888
471,93,662.5,212.5,12.5,199.879,0.2,0.050006
472,93,687.5,212.5,12.5,199.985,0.2,0.0500007
473,93,662.5,237.5,12.5,199.808,0.2,0.0500096
474,93,687.5,237.5,12.5,199.984,0.2,0.0500008
475,93,662.5,212.5,37.5,199.529,0.2,0.0500236
476,93,687.5,212.5,37.5,199.961,0.2,0.0500019
477,93,662.5,237.5,37.5,199.441,0.2,0.0500279
478,93,687.5,237.5,37.5,199.956,0.2,0.0500022
479,94,712.5,212.5,12.5,199.999,0.2,0.0500001
480,94,737.5,212.5,12.5,200,0.2,0.05
481,94,712.5,237.5,12.5,199.999,0.2,0.0500001
482,94,737.5,237.5,12.5,200,0.2,0.05
483,94,712.5,212.5,37.5,199.997,0.2,0.0500001
484,94,737.5,212.5,37.5,200,0.2,0.05
485,94,712.5,237.5,37.5,199.996,0.2,0.0500002
486,94,737.5,237.5,37.5,200,0.2,0.05
487,95,775,225,25,200,0.2,0.05
488,96,825,225,25,200,0.2,0.05
489,97,862.5,212.5,12.5,200,0.2,0.05
490,97,887.5,212.5,12.5,200,0.2,0.05
491,97,862.5,237.5,12.5,200,0.2,0.05
492,97,887.5,237.5,12.5,200,0.2,0.05
493,97,862.5,212.5,37.5,200,0.2,0.05
494,97,887.5,212.5,37.5,200,0.2,0.05
495,97,862.5,237.5,37.5,200,0.2,0.05
